"CÓDIGO";"DESCRIPCION";"LATITUD";"LONGITUD";"DIRECCIÓN";"C.P.";"POBLACION";"PROVINCIA";"PAIS"
55017;"ALMORAIMA";"36.2770173";"-5.4300178";"CARRETERA A-405 - ESTACION FERROCARRIL. S/N";11350;"Castellar de la Frontera";"Cádiz";"España"
55018;"SAN ROQUE-LA LINEA";"36.2140158";"-5.4322269";"AVENIDA GUADARRANQUE. 34";11368;"San Roque";"Cádiz";"España"
55019;"LOS BARRIOS";"36.1738822";"-5.4607781";"CARRETERA JEREZ - ALGECIRAS - ESTACION FERROCARRIL. 1";11370;"Barrios. Los";"Cádiz";"España"
55020;"ALGECIRAS";"36.126469";"-5.448923";"AVENIDA GESTO POR LA PAZ. S/N";11207;"Algeciras";"Cádiz";"España"
56004;"JODAR-UBEDA";"37.9133419";"-3.3502021";"CARRETERA A-401 - ESTACION DE FERROCARRIL. S/N";23400;"Jódar";"Jaén";"España"
56009;"CABRA DEL SANTO CRISTO Y ALICUN";"37.6567026";"-3.2625925";"CARRETERA JV-3212 - ESTACION FERROCARRIL. S/N";23590;"Cabra del Santo Cristo";"Jaén";"España"
56100;"MOREDA";"37.4311479";"-3.3105075";"CARRETERA GR-4101 - ESTACION DE FERROCARRIL. 26";18540;"Morelábor";"Granada";"España"
56103;"BENALUA DE GUADIX";"37.345298";"-3.1631551";"AVENIDA LLANO DE LA ESTACION. S/N";18510;"Benalúa";"Granada";"España"
56200;"GUADIX";"37.3168311";"-3.1271704";"AVENIDA ESTACION FERROCARRIL. S/N";18500;"Guadix";"Granada";"España"
56301;"FIÑANA";"37.1847081";"-2.839647";"CARRETERA AL-6401 - DISEMINADO CORTIJO FAZ.S/N";4500;"Fiñana";"Almería";"España"
56305;"GERGAL";"37.1088805";"-2.5915216";"CARRETERA AL-3410 - ESTACION FERROCARRIL. S/N";4458;"Gérgal";"Almería";"España"
56308;"GADOR";"36.9515917";"-2.4874696";"CARRETERA AL-3411 - CALLE RETIRO. S/N";4560;"Gádor";"Almería";"España"
56312;"ALMERIA";"36.8346609";"-2.4561659";"PLAZA ESTACION FERROCARRIL. S/N";4006;"Almería";"Almería";"España"
57003;"IZNALLOZ";"37.3958908";"-3.5278435";"CALLE EXPLANADA ESTACION FERROCARRIL. S/N";18550;"Iznalloz";"Granada";"España"
60000;"MADRID-PUERTA DE ATOCHA";"40.4053548";"-3.6895915";"GLORIETA EMPERADOR CARLOS V. S/N";28045;"Madrid";"Madrid";"España"
60202;"CASTILLEJO-AÑOVER";"39.9495877";"-3.7384557";"CARRETERA M-416 - AÑOVER-YEPES - ESTACION FERROCARRIL. S/N";28300;"Aranjuez";"Madrid";"España"
60203;"VILLASEQUILLA";"39.8794911";"-3.7285349";"PASEO ESTACION FERROCARRIL. S/N";45740;"Villasequilla";"Toledo";"España"
60206;"TEMBLEQUE";"39.7224617";"-3.4970336";"CALLE CAMINO DE LA CELADILLA. S/N";45770;"Tembleque";"Toledo";"España"
60207;"EL ROMERAL";"39.6940137";"-3.4300228";"PLAZA ESQUINA DEL CRISTINO. S/N";45770;"Romeral. El";"Toledo";"España"
60300;"VILLACAÑAS";"39.6219519";"-3.3301228";"PASEO ESTACION FERROCARRIL. S/N";45860;"Villacañas";"Toledo";"España"
60301;"QUERO";"39.5041874";"-3.2660226";"CARRETERA ESTACION FERROCARRIL. S/N";45790;"Quero";"Toledo";"España"
60400;"ALCAZAR DE SAN JUAN";"39.3961548";"-3.2058024";"CALLE ALVAREZ GUERRA. S/N";13600;"Alcázar de San Juan";"Ciudad Real";"España"
60402;"CAMPO DE CRIPTANA";"39.394412";"-3.1176765";"AVENIDA AGUSTIN DE LA FUENTE. 49";13610;"Campo de Criptana";"Ciudad Real";"España"
60406;"SOCUELLAMOS";"39.2787994";"-2.7755387";"CALLE ESTACION FERROCARRIL. S/N";13630;"Socuéllamos";"Ciudad Real";"España"
60500;"VILLARROBLEDO";"39.2608516";"-2.5985537";"CALLE JUAN FERREIRA. S/N";2600;"Villarrobledo";"Albacete";"España"
60503;"MINAYA";"39.240726";"-2.3484434";"CALLE ESTACION FERROCARRIL. S/N";2620;"Minaya";"Albacete";"España"
60505;"LA RODA DE ALBACETE";"39.199397";"-2.1628953";"PLAZA ESTACION FERRACARRIL. S/N";2630;"Roda. La";"Albacete";"España"
